ARTH1101-06 |Introduction to Art ||Kerr, Kathryn |17/20|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH1101-07 |Introduction to Art ||Azimova, Fatima T |22/25|Open|MWF 9:00 - 9:50 AM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTH1101-08 |Introduction to Art ||Azimova, Fatima T |22/25|Open|MWF 10:00 - 10:50 AM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTH1101-09 |Introduction to Art ||STAFF |17/25|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTH1101-51 |Introduction to Art ||STAFF |12/20/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH1101-52 |Introduction to Art ||Bender, Heidi |12/20/12|Open|M 5:00 - 7:30 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH2211-01 |Art History Survey 1 ||Graziani, Isabel |-1/20|Closed|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Virtual Reality Room |3|08/20/12|12/07/12
ARTH2211-02 |Art History Survey 1 ||Graziani, Isabel |-2/20|Closed|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Virtual Reality Room |3|08/20/12|12/07/12
ARTH3366-01 |Non-Western Arts Survey ||Kerr, Kathryn |0/20|Closed|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH3366-02 |Non-Western Arts Survey ||Kerr, Kathryn |0/20|Closed|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH3367-01 |Women in the Arts ||Graziani, Isabel |04/20/12|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Virtual Reality Room |3|08/20/12|12/07/12
ARTH3453-51 |Baroque and Rococo Art ||Graziani, Isabel |0/20|Closed|M 5:00 - 7:30 PM; MAIN Campus, Center for the Arts , Virtual Reality Room |3|08/20/12|12/07/12
ARTH4999-01 |Special Topics in Art History ||Graziani, Isabel |20/20|Open|0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
ARTP2801-51 |Art in the Curriculum ||Harr, Anissa L |04/15/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTP4801-01 |Studio Methods Early Childhood ||Harr, Anissa L |17/20|Open|0:00 - 0:00 AM; MAIN Campus|3|08/20/12|12/07/12
ARTP4802-01 |St Mthd Mid Child/Adol/Yng Adult ||Harr, Anissa L |17/20|Open|0:00 - 0:00 AM; MAIN Campus|3|08/20/12|12/07/12
ARTS1101-01 |Two-Dimensional Foundations ||Mayne, Kyle M |12/20/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-02 |Two-Dimensional Foundations ||McCane, Dan |20/20|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-03 |Two-Dimensional Foundations ||Stettner, Mica L |20/20|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-04 |Two-Dimensional Foundations ||Stead, Thomas |18/20|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-05 |Two-Dimensional Foundations ||Mayne, Kyle M |19/20|Open|TR 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-06 |Two-Dimensional Foundations ||McCane, Dan |20/20|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-07 |Two-Dimensional Foundations ||Haskins, Charles E |19/20|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-51 |Two-Dimensional Foundations ||Price, Sharon L |20/20|Open|T 5:00 - 7:30 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1101-52 |Two-Dimensional Foundations ||Stead, Thomas |18/20|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Drawing Studio |3|08/20/12|12/07/12
ARTS1103-51 |Three-Dimensional Foundations ||Dunlap, Wendy S |13/20|Open|TR 5:00 - 6:15 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTS1103-52 |Three-Dimensional Foundations ||Dunlap, Wendy S |10/20/12|Open|TR 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTS1103-53 |Three-Dimensional Foundations ||Dunlap, Wendy S |18/20|Open|TR 6:30 - 7:45 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTS1104-01 |Creative Process ||Raiser, Charles L |10/15/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS1104-02 |Creative Process ||Raiser, Charles L |12/15/12|Open|TR 8:00 - 9:15 AM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS1104-03 |Creative Process ||Raiser, Charles L |01/15/12|Reopened|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS1105-01 |Digital Foundations ||Mader, Andrew A |07/16/12|Open|TR 5:00 - 6:15 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS1105-02 |Digital Foundations ||Fluharty, Tyler C |04/16/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Intaglio Studio |3|08/20/12|12/07/12
ARTS1105-51 |Digital Foundations ||Mader, Andrew A |12/16/12|Open|TR 6:30 - 7:45 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS1105-52 |Digital Foundations ||Hinton, Nancy E |11/16/12|Open|W 5:00 - 7:30 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS2211-01 |Drawing 1 ||Stettner, Mica L |-1/12|Closed|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS2212-01 |Drawing 2 ||McCane, Dan |13/20|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTS2221-01 |Life Drawing 1 ||Azimova, Fatima T |0/18|Closed|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS2222-01 |Life Drawing 2 ||Reynolds, Todd |03/10/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS2311-01 |Painting 1 ||Stead, Thomas |0/10|Closed|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS2312-01 |Painting 2 ||Reynolds, Todd |0/5|Closed|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS2411-02 |Ceramics 1 ||Bowen, Robert Michael |09/15/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
